"Points:0","Points:1","Points:2"
-5.61400e-03,3.54360e-02,-7.63710e-02
-4.67000e-03,3.50750e-02,-7.64180e-02
-8.25700e-03,4.05600e-02,-7.63440e-02
-2.69900e-03,3.46900e-02,-7.57610e-02
-1.68500e-03,3.53830e-02,-7.63660e-02
-4.99500e-03,3.48110e-02,-7.57500e-02
-4.81100e-03,4.28630e-02,-7.63580e-02
-1.36800e-03,4.51660e-02,-7.63720e-02
-4.53000e-03,4.56030e-02,-7.63170e-02
-3.29000e-03,4.57890e-02,-7.62890e-02
-2.17600e-03,4.57420e-02,-7.62940e-02
-3.57500e-03,4.15630e-02,-7.61890e-02
1.54500e-03,4.05110e-02,-7.63290e-02
1.10700e-03,4.25660e-02,-7.60360e-02
-8.48900e-03,3.84280e-02,-7.59430e-02
-6.49700e-03,3.59020e-02,-7.63010e-02
-7.97700e-03,3.73870e-02,-7.60920e-02
-7.30300e-03,3.64950e-02,-7.62190e-02
-8.10600e-03,4.25370e-02,-7.60640e-02
-8.36400e-03,4.15680e-02,-7.62000e-02
1.51400e-03,3.85850e-02,-7.58990e-02
-7.61400e-03,4.35500e-02,-7.59120e-02
1.15400e-03,3.76090e-02,-7.60400e-02
1.42900e-03,4.15980e-02,-7.61740e-02
4.10000e-04,3.65640e-02,-7.61910e-02
-6.63500e-03,3.55510e-02,-7.56450e-02
-1.28600e-03,4.53540e-02,-7.56400e-02
-8.10200e-03,-8.03990e-02,-7.59720e-02
-8.31700e-03,-8.20580e-02,-7.62060e-02
-3.84100e-03,-7.76800e-02,-7.60550e-02
-4.89400e-03,-7.74370e-02,-7.61270e-02
-7.13900e-03,-7.85250e-02,-7.58010e-02
-3.63000e-03,-8.27370e-02,-7.60140e-02
8.09000e-04,-8.12990e-02,-7.57230e-02
-1.00000e-06,4.42180e-02,-7.58020e-02
-3.96500e-03,4.58730e-02,-7.55720e-02
-8.60500e-03,3.90650e-02,-7.58530e-02
-3.10400e-03,4.60370e-02,-7.55480e-02
1.70500e-03,4.05690e-02,-7.56130e-02
-1.32000e-03,3.50750e-02,-7.57040e-02
-3.13000e-04,3.56770e-02,-7.56090e-02
-7.55700e-03,-8.56810e-02,-7.58620e-02
-7.43400e-03,3.61760e-02,-7.55590e-02
-8.48100e-03,4.14340e-02,-7.55130e-02
-6.76100e-03,4.45900e-02,-7.57610e-02
-8.41600e-03,-8.33250e-02,-7.58300e-02
-8.68300e-03,4.02030e-02,-7.56910e-02
-7.33000e-04,4.49270e-02,-7.57010e-02
-8.45800e-03,-8.14320e-02,-7.56600e-02
-5.75200e-03,3.49610e-02,-7.50220e-02
-6.35900e-03,4.49110e-02,-7.57150e-02
-5.59700e-03,-8.77990e-02,-7.59680e-02
-2.63800e-03,-8.79000e-02,-7.59450e-02
-4.57700e-03,-8.81940e-02,-7.58530e-02
6.62000e-04,4.34120e-02,-7.59160e-02
-7.99100e-03,3.70110e-02,-7.54390e-02
-3.25000e-03,-8.45480e-02,-7.58430e-02
-3.90800e-03,-7.70330e-02,-7.55180e-02
-5.50500e-03,-7.71290e-02,-7.54850e-02
-5.85500e-03,-7.75600e-02,-7.60870e-02
1.16600e-03,4.24950e-02,-7.53370e-02
1.05700e-03,-8.34170e-02,-7.58250e-02
-5.33600e-03,4.54880e-02,-7.56280e-02
-8.14700e-03,4.24290e-02,-7.53690e-02
1.11600e-03,3.71650e-02,-7.53980e-02
